HTTrack3.48-22+htsswf+htsjava launched on Sun, 26 Feb 2017 09:46:26 at http://gameport.wiledia.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" http://gameport.wiledia.com/ -O1 "C:\Meus Sites\Gamestore" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

09:54:27	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/wii-u.png (from gameport.wiledia.com/listings/wii-u)
09:54:32	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/splatoon-wii-u-andy-59 (from gameport.wiledia.com/listings/wii-u)
09:54:35	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/avatar_square_tiny/1486731601-237.jpg (from gameport.wiledia.com/listings/ps3)
09:54:37	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/3ds.png (from gameport.wiledia.com/listings/3ds)
09:54:39	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/vita.png (from gameport.wiledia.com/listings/vita)
09:54:39	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/wii.png (from gameport.wiledia.com/listings/wii)
09:54:41	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/dreamcast_tiny.png (from gameport.wiledia.com/listings/dreamcast)
09:54:44	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/mass-effect-andromeda-ps4-311 (from gameport.wiledia.com/games)
09:54:45	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/cover/1487672558-407.jpg (from gameport.wiledia.com/games)
09:54:46	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/cover/1487665624-406.jpg (from gameport.wiledia.com/games)
09:54:46	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/cover/1485987771-233.jpg (from gameport.wiledia.com/games)
09:54:46	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/the-turing-test-ps4-263 (from gameport.wiledia.com/games)
09:54:48	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games?page=2 (from gameport.wiledia.com/games)
09:57:16	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games?page=7 (from gameport.wiledia.com/games)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/175/media (from gameport.wiledia.com/games/tom-clancys-ghost-recon-wildlands-ps4-175)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/186/media (from gameport.wiledia.com/games/1-2-switch-switch-186)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/407/media (from gameport.wiledia.com/games/super-bomberman-r-switch-407)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/145/media (from gameport.wiledia.com/games/the-legend-of-zelda-breath-of-the-wild-wii-u-145)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/245/media (from gameport.wiledia.com/games/horizon-zero-dawn-ps4-245)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/356/media (from gameport.wiledia.com/games/halo-wars-2-xboxone-356)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/194/media (from gameport.wiledia.com/games/for-honor-pc-194)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/406/media (from gameport.wiledia.com/games/nioh-ps4-406)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/293/media (from gameport.wiledia.com/games/dynasty-warriors-godseekers-ps4-293)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/233/media (from gameport.wiledia.com/games/the-sun-and-moon-xboxone-233)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/161/media (from gameport.wiledia.com/games/kingdom-hearts-hd-28-final-chapter-prologue-ps4-161)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/137/media (from gameport.wiledia.com/games/resident-evil-7-biohazard-ps4-137)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/211/media (from gameport.wiledia.com/listings/tekken-7-ps4-demo-394)
10:00:02	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/square_tiny/1485882383-211.jpg (from gameport.wiledia.com/listings/tekken-7-ps4-demo-394)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/271/media (from gameport.wiledia.com/listings/mini-ninjas-xbox360-leekemp-393)
10:00:02	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/425/media (from gameport.wiledia.com/listings/asdivine-hearts-ps4-admin-392)
10:00:02	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/avatar_square/1486731601-237.jpg (from gameport.wiledia.com/user/admin)
10:00:05	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/139/media (from gameport.wiledia.com/listings/the-legend-of-zelda-a-link-between-worlds-3ds-leekemp-388)
10:00:05	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/414/media (from gameport.wiledia.com/listings/deus-ex-mankind-divided-ps4-leekemp-387)
10:00:05	Warning: 	Found for gameport.wiledia.com/listings/resident-evil-7-biohazard-ps4-lee.kemp-386
10:00:05	Warning: 	File has moved from gameport.wiledia.com/listings/resident-evil-7-biohazard-ps4-lee.kemp-386 to http://gameport.wiledia.com/listings/resident-evil-7-biohazard-ps4-leekemp-386
10:00:06	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/302/media (from gameport.wiledia.com/listings/just-cause-3-ps4-leekemp-383)
10:00:06	Warning: 	Found for gameport.wiledia.com/listings/halo-5-guardians-xboxone-lee.kemp-381
10:00:06	Warning: 	File has moved from gameport.wiledia.com/listings/halo-5-guardians-xboxone-lee.kemp-381 to http://gameport.wiledia.com/listings/halo-5-guardians-xboxone-leekemp-381
10:00:06	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/208/media (from gameport.wiledia.com/listings/game-of-thrones-episode-one-iron-from-ice-xboxone-leekemp-380)
10:00:06	Warning: 	Found for gameport.wiledia.com/listings/abzu-ps4-lee.kemp-379
10:00:06	Warning: 	File has moved from gameport.wiledia.com/listings/abzu-ps4-lee.kemp-379 to http://gameport.wiledia.com/listings/abzu-ps4-leekemp-379
10:00:07	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/409/media (from gameport.wiledia.com/listings/reus-ps4-demo-364)
10:00:07	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/393/media (from gameport.wiledia.com/listings/fallout-4-ps4-hhhhhhh-363)
10:00:07	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/124/media (from gameport.wiledia.com/listings/need-for-speed-xboxone-romali-359)
10:00:07	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/223/media (from gameport.wiledia.com/listings/battlefield-4-xboxone-stansmith-351)
10:00:08	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/400/media (from gameport.wiledia.com/listings/gears-of-war-ultimate-edition-xboxone-sssss7-344)
10:00:08	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/309/media (from gameport.wiledia.com/listings/fifa-16-xboxone-joaovictor-330)
10:00:08	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/square_tiny/1487322605-382.jpg (from gameport.wiledia.com/listings/fifa-16-xboxone-joaovictor-330)
10:00:08	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/153/media (from gameport.wiledia.com/listings/counter-strike-global-offensive-pc-alissomsantos-318)
10:00:09	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/121/media (from gameport.wiledia.com/listings/mad-max-pc-tobischw21-308)
10:00:10	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/366/media (from gameport.wiledia.com/listings/pro-evolution-soccer-2013-pc-umutbakir-295)
10:00:10	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/330/media (from gameport.wiledia.com/listings/jagged-alliance-back-in-action-point-blank-pc-muhammadnurardihandayat-292)
10:00:10	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/vendor/owlcarousel/assets/owl.video.play.png (from gameport.wiledia.com/vendor/owlcarousel/assets/owl.carousel.min.css)
10:00:12	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/tom-clancys-the-division-ps4-elli.hadler-60 (from gameport.wiledia.com/listings?page=3)
10:00:12	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/user/elli.hadler (from gameport.wiledia.com/listings?page=3)
10:00:15	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/uncharted-4-a-thiefs-end-ps4-andy-48 (from gameport.wiledia.com/listings?page=4)
10:00:16	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/230/media (from gameport.wiledia.com/listings/overwatch-ps4-andy-164)
10:00:16	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/188/media (from gameport.wiledia.com/listings/call-of-duty-black-ops-iii-ps4-yannlps-152)
